key	address	annote	author	booktitle	crossref	chapter	doi	edition	editor	eprint	howpublished	institution	journal	month	note	number	organization	pages	publisher	school	series	title	type	url	volume	year
jablonsky2016different	 	 	Jablonsky, Jiri  and Papacek, Stepan  and Hagemann, Martin	 	 	 	10.1038/srep33024	 	 	 	 	 	Scientific Reports	 	 	 	 	 	Nature Publishing Group	 	 	Different strategies of metabolic regulation in cyanobacteria: from transcriptional to biochemical control	 		6	2016
talemi2016systems	 	 	Talemi, Soheil Rastgou  and Tiger, Carl-Fredrik -. F. and Andersson, Mikael  and Babazadeh, Roja  and Welkenhuysen, Niek  and Klipp, Edda  and Hohmann, Stefan  and Schaber, J\"{o}rg	 	 	 	10.1038/srep30950	 	 	 	 	 	Scientific Reports	 	 	 	 	 	Nature Publishing Group	 	 	Systems level analysis of the yeast osmo-stat	 		6	2016
macklin2016progress	 	 	Macklin, Paul  and Frieboes, Hermann B.  and Sparks, Jessica L.  and Ghaffarizadeh, Ahmadreza  and Friedman, Samuel H.  and Juarez, Edwin F.  and Jonckheere, Edmond  and Mumenthaler, Shannon M.	Systems Biology of Tumor Microenvironment	 	12	10.1007/978-3-319-42023-3_12	 	 	 	 	 	 	 	 	 	 	225-246	Springer International Publishing	 	Advances in Experimental Medicine and Biology	Progress Towards Computational 3-D Multicellular Systems Biology	 		 	2016
Rejniak:SystemsBiologyOfTumorMicroenvironmentQuantitative:2016	 	 	Rejniak, Katarzyna A.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Springer	 	 	Systems Biology of Tumor Microenvironment: Quantitative Modeling and Simulations	 	http://link.springer.com/book/10.1007/978-3-319-42023-3	 	2016
gerstl2016sets	 	 	Gerstl, Matthias P.  and Jungreuthmayer, Christian  and M\"{u}ller, Stefan  and Zanghellini, J\"{u}rgen	 	 	 	10.1111/febs.13702	 	 	 	 	 	The Febs Journal	May	 	9	 	1782	Wiley-Blackwell	 	 	Which sets of elementary flux modes form thermodynamically feasible flux distributions?	 		283	2016
dal2016algae	 	 	Dal?'Molin, Cristiana {GO}  and Nielsen, Lars K.	The Physiology of Microalgae	 	 	 	 	 	 	 	 	 	 	 	 	 	591-598	Springer	 	 	Algae Genome-Scale Reconstruction, Modelling and Applications	 		 	2016
yu2016xml	 	 	Yu, Chunjiang  and Shen, Bairong	Translational Biomedical Informatics	 	11	 	 	 	 	 	 	 	 	 	 	 	259-287	Springer	 	 	{XML}, Ontologies, and Their Clinical Applications	 		 	2016
roudi2016evidence	Netherlands	 	Roudi, Raheleh  and Madjd, Zahra  and Ebrahimi, Marzieh  and Najafi, Ali  and Korourian, Alireza  and Shariftabrizi, Ahmad  and Samadikuchaksaraei, Ali	 	 	 	10.1007/s13277-016-5041-y	 	 	 	 	 	Tumour Biology	April	 	 	 	 	 	 	 	Evidence for embryonic stem-like signature and epithelial-mesenchymal transition features in the spheroid cells derived from lung adenocarcinoma	 		 	2016
cedersund2016optimization	 	 	Cedersund, Gunnar  and Samuelsson, Oscar  and Ball, Gordon  and Tegn\'{e}r, Jesper  and Gomez-Cabrero, David	Uncertainty in Biology	 	 	 	 	 	 	 	 	 	 	 	 	 	177-197	Springer	 	 	Optimization in biology parameter estimation and the associated optimization problem	 		 	2016
mooney2016aging	United States	 	Mooney, Kathleen M.  and Morgan, Amy E.  and Mc Auley, Mark T.	 	 	 	10.1002/wsbm.1328	 	 	 	 	 	Wiley Interdisciplinary Reviews: Systems Biology and Medicine	March	 	2	 	123-39	 	 	 	Aging and computational systems biology	 		8	2016
libsedmlgithub	 	 	Bergmann, Frank T.	 	 	 	 	 	 	 	Available on the World Wide Web at \url{https://github.com/fbergmann/libSEDML}	 	 	 	 	 	 	 	 	 	 	 	 	https://github.com/fbergmann/libSEDML	 	2015
smith2015phrasedml	 	 	Smith, Lucian  and Choi, Kiri  and Medley, Kyle  and Sauro, Herbert S.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	http://co.mbine.org/events/COMBINE_2015/agenda?q=system/files/combine2015-phrasedml_COMBINE2015_0.pdf	 	2015
numlgithub	 	 	 	 	 	 	 	 	 	 	Available on the World Wide Web at \url{https://github.com/numl/numl}	 	 	 	 	 	 	 	 	 	 	 	 	https://github.com/numl/numl	 	2015
hu2015volterra	 	 	Hu, Eric Y.  and Bouteiller, Jean-Marie {C}. -. M. {C}. and Song, Dong  and Berger, Theodore W.	 	 	 	10.1109/EMBC.2015.7319095	 	 	 	 	 	2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)	 	 	 	 	3291	{NIH} Public Access	 	 	The volterra functional series is a viable alternative to kinetic models for synaptic modeling-calibration and benchmarking	 		2015	2015
deuflhard2015ode	 	 	Deuflhard, Peter  and R\"{o}blitz, Susanna	A Guide to Numerical Modelling in Systems Biology	 	 	 	 	 	 	 	 	 	 	 	 	 	1-32	Springer	 	 	{ODE} Models for Systems Biological Networks	 		 	2015
deuflhard2015numerical	 	 	Deuflhard, Peter  and R\"{o}blitz, Susanna	A Guide to Numerical Modelling in Systems Biology	 	 	 	 	 	 	 	 	 	 	 	 	 	33-87	Springer	 	 	Numerical Simulation of {ODE} Models	 		 	2015
deuflhard2015parameter	 	 	Deuflhard, Peter  and R\"{o}blitz, Susanna	A Guide to Numerical Modelling in Systems Biology	 	 	 	 	 	 	 	 	 	 	 	 	 	89-138	Springer	 	 	Parameter Identification in {ODE} Models	 		 	2015
dannenberg2015computing	 	 	Dannenberg, Frits  and Hahn, Ernst Moritz  and Kwiatkowska, Marta	 	 	 	 	 	 	 	 	 	{ACM} Transactions on Modeling and Computer Simulation (TOMACS)	 	 	2	 	9	{ACM}	 	 	Computing cumulative rewards using fast adaptive uniformization	 		25	2015
chiang2015hybrid	 	 	Chiang, Hui Ju K.  and Fages, Fran\c{c}ois  and Jiang, Jie Hong R.  and Soliman, Sylvain	 	 	 	10.1145/2742545	 	 	 	 	 	{ACM} Transactions on Modeling and Computer Simulation	May	 	2	 	1-22	Association for Computing Machinery ({ACM})	 	 	Hybrid Simulations of Heterogeneous Biochemical Models in {{SBML}}	 		25	2015
roehner2015generating	United States	 	Roehner, Nicholas  and Zhang, Zhen  and Nguyen, Tramy  and Myers, Chris J.	 	 	 	10.1021/sb5003289	 	 	 	 	 	ACS Synthetic Biology	August	 	8	 	873-9	 	 	 	Generating {S}ystems {B}iology {M}arkup {L}anguage Models from the Synthetic Biology Open Language	 		4	2015
fontecave2015implementation	Netherlands	 	Fontecave-Jallon, Julie  and Thomas, S. Randall	 	 	 	10.1007/s10441-015-9250-3	 	 	 	 	 	Acta Biotheoretica	September	 	3	 	269-82	 	 	 	Implementation of a model of bodily fluids regulation	 		63	2015
liu2015diverse	 	 	Liu, Jun  and Wang, Zhong	 	 	 	10.1038/aps.2014.125	 	 	 	 	 	Acta Pharmacologica Sinica	June	 	6	 	680	Nature Publishing Group	 	 	Diverse array-designed modes of combination therapies in Fangjiomics	 		36	2015
villaveces2015tools	 	 	Villaveces, Jose M.  and Koti, Prasanna  and Habermann, Bianca H.	 	 	 	10.2147/AABC.S63534	 	 	 	 	 	Advances and applications in bioinformatics and chemistry: AABC	 	 	 	 	11	Dove Press	 	 	Tools for visualization and analysis of molecular networks, pathways, and-omics data	 		8	2015
bouhifd2015human	 	 	Bouhifd, Mounir  and Andersen, Melvin E.  and Baghdikian, Christina  and Boekelheide, Kim  and Crofton, Kevin M.  and Fornace Jr, Albert J.  and Kleensang, Andre  and Li, Henghong  and Livi, Carolina  and Maertens, Alexandra	 	 	 	 	 	 	 	 	 	Altex	 	 	2	 	112	{NIH} Public Access	 	 	The human toxome project	 		32	2015
assar2015modeling	 	 	Assar, Rodrigo  and Maass, Alejandro  and Fern\'{a}ndez, Joaqu\'{i}n  and Kofman, Ernesto  and Montecino, Mart\'{i}n A.	 	 	 	 	 	 	 	 	 	Analysis, Modelling, Optimization, and Numerical Techniques	 	 	 	 	235-245	Springer	 	 	Modeling Cell Decisions in Bone Formation	 		 	2015
veith2015using	 	 	Veith, Nadine  and Solheim, Margrete  and van Grinsven, Koen WA  and Olivier, Brett G.  and Levering, Jennifer  and Grosseholz, Ruth  and Hugenholtz, Jeroen  and Holo, Helge  and Nes, Ingolf  and Teusink, Bas	 	 	 	10.1128/AEM.03279-14	 	 	 	 	 	Applied and Environmental Microbiology	March	 	5	 	1622	American Society for Microbiology (ASM)	 	 	Using a genome-scale metabolic model of Enterococcus faecalis V583 to assess amino acid uptake and its impact on central metabolism	 		81	2015
somogyi2015libroadrunner	 	 	Somogyi, Endre T.  and Bouteiller, Jean-Marie -. M. and Glazier, James A.  and K\"{o}nig, Matthias  and Medley, Kyle  and Swat, Maciej H.  and Sauro, Herbert M.	 	 	 	 	 	 	 	 	 	arXiv preprint arXiv:1503.01095	 	 	 	 	 	 	 	 	lib{R}oad{R}unner: A High Performance {{SBML}} Simulation and Analysis Library	 		 	2015
harris2015bionetgen	 	 	Harris, Leonard A.  and Hogg, Justin S.  and Tapia, Jose-Juan -. J. and Sekar, John AP  and Korsunsky, Ilya  and Arora, Arshi  and Barua, Dipak  and Sheehan, Robert P.  and Faeder, James R.	 	 	 	 	 	 	 	 	 	arXiv preprint arXiv:1507.03572	 	 	 	 	 	 	 	 	BioNetGen 2.2: advances in rule-based modeling	 		 	2015
hucka2015organizing	San Francisco	 	Hucka, Michael	Astronomical Data Analysis Software an Systems XXIV (ADASS XXIV), Proceedings of a conference held 5-9 {O}ctober 2014 at Calgary, Alberta Canada	 	 	 	 	Taylor, A.R.  and Rosolowsky, E.	 	 	 	 	September	 	 	 	 	Astronomical Society of the Pacific	 	 	Organizing Community-Based Data Standards: Lessons from Developing a Successful Open Standard in Systems Biology	 	http://adsabs.harvard.edu/abs/2015ASPC..495..575H	 	2015
turei2015autophagy	United States	 	T\"{u}rei, D\'{e}nes  and F\"{o}ldv\'{a}ri-Nagy, L\'{a}szl\'{o}  and Fazekas, D\'{a}vid  and M\'{o}dos, Dezs  and Kubisch, J\'{a}nos  and Kadlecsik, Tam\'{a}s  and Demeter, Amanda  and Lenti, Katalin  and Csermely, P\'{e}ter  and Vellai, Tibor  and Korcsm\'{a}ros, Tam\'{a}s	 	 	 	10.4161/15548627.2014.994346	 	 	 	 	 	Autophagy	 	 	1	 	155-65	 	 	 	Autophagy Regulatory Network - a systems-level bioinformatics resource for studying the mechanism and regulation of autophagy	 		11	2015
till2015evolutionary	United States	 	Till, Andreas  and Saito, Rintaro  and Merkurjev, Daria  and Liu, Jing-Jing J. and Syed, Gulam Hussain  and Kolnik, Martin  and Siddiqui, Aleem  and Glas, Martin  and Scheffler, Bj\"{o}rn  and Ideker, Trey  and Subramani, Suresh	 	 	 	10.1080/15548627.2015.1059558	 	 	 	 	 	Autophagy	 	 	9	 	1652-67	 	 	 	Evolutionary trends and functional anatomy of the human expanded autophagy network	 		11	2015
fages2015biocham	Paris-Rocquencourt, France	 	Fages, Fran\c{c}ois  and Jonanovska, Dragana  and Rizk, Aur\'{e}lien  and Soliman, Sylvain  and Gay, Steven  and Floch, Fran\c{c}ois-Marie	 	 	 	 	 	 	 	 	Institut National de Recherche en Informatique et Automatique, EPI Lifeware, INRIA Paris-Rocquencourt, France	 	 	 	 	 	 	INRIA	 	 	BIOCHAM 3.6 Reference Manual	 	http://lifeware.inria.fr/Biocham/	 	2015
BiochamWebPage:2015	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	BIOCHAM web page	 	https://lifeware.inria.fr/biocham/	 	2015
lu2015supervised	England	 	Lu, Pinyi  and Abedi, Vida  and Mei, Yongguo  and Hontecillas, Raquel  and Hoops, Stefan  and Carbo, Adria  and Bassaganya-Riera, Josep	 	 	 	10.1186/s13040-015-0060-6	 	 	 	 	 	BioData Mining	 	 	 	 	27	 	 	 	Supervised learning methods in modeling of CD4+ T cell heterogeneity	 		8	2015
johnson2015sysbions	 	 	Johnson, Rob  and Kirk, Paul  and Stumpf, Michael P. H.	 	 	 	10.1093/bioinformatics/btu675	 	 	 	 	 	Bioinformatics	February	 	4	 	604-5	 	 	 	SYSBIONS: nested sampling for systems biology	 		31	2015
kelley2015most	England	 	Kelley, James J.  and Lane, Anatoliy  and Li, Xiaowei  and Mutthoju, Brahmaji  and Maor, Shay  and Egen, Dennis  and Lun, Desmond S.	 	 	 	10.1093/bioinformatics/btu685	 	 	 	 	 	Bioinformatics	February	 	4	 	610-1	 	 	 	MOST: a software environment for constraint-based metabolic modeling and strain design	 		31	2015
kyoda2015biological	 	 	Kyoda, Koji  and Tohsato, Yukako  and Ho, Kenneth H. L.  and Onami, Shuichi	 	 	 	10.1093/bioinformatics/btu767	 	 	 	 	 	Bioinformatics	April	 	7	 	1044-52	 	 	 	Biological Dynamics Markup Language (BDML): an open format for representing quantitative biological dynamics data	 		31	2015
fuller2015ligdig	England	 	Fuller, Jonathan {C}.  and Martinez, Michael  and Henrich, Stefan  and Stank, Antonia  and Richter, Stefan  and Wade, Rebecca {C}.	 	 	 	10.1093/bioinformatics/btu784	 	 	 	 	 	Bioinformatics	April	 	7	 	1147-9	 	 	 	LigDig: a web server for querying ligand-protein interactions	 		31	2015
aitken2015dizzy	England	 	Aitken, Stuart  and Kilpatrick, Alastair M.  and Akman, Ozgur E.	 	 	 	10.1093/bioinformatics/btv062	 	 	 	 	 	Bioinformatics	June	 	11	 	1863-5	 	 	 	Dizzy-Beats: a {B}ayesian evidence analysis tool for systems biology	 		31	2015
wimalaratne2015sparql	 	 	Wimalaratne, Sarala M.  and Bolleman, Jerven  and Juty, Nick  and Katayama, Toshiaki  and Dumontier, Michel  and Redaschi, Nicole  and Le Nov\`{e}re, Nicolas  and Hermjakob, Henning  and Laibe, Camille	 	 	 	10.1093/bioinformatics/btv064	 	 	 	 	 	Bioinformatics	June	 	11	 	1875	Oxford University Press	 	 	{SPARQL}-enabled identifier conversion with Identifiers. org	 		31	2015
rodriguez2015jsbml	 	 	Rodriguez, Nicolas  and Thomas, Alex  and Watanabe, Leandro  and Vazirabad, Ibrahim Y.  and Kofia, Victor  and G\'{o}mez, Harold F.  and Mittag, Florian  and Matthes, Jakob  and Rudolph, Jan  and Wrzodek, Finja  and Netz, Eugen  and Diamantikos, Alexander  and Eichner, Johannes  and Keller, Roland  and Wrzodek, Clemens  and Fr\"{o}hlich, Sebastian  and Lewis, Nathan E.  and Myers, Chris J.  and Le Nov\`{e}re, Nicolas  and Palsson, Bernhard \O.  and Hucka, Michael  and Dr\"{a}ger, Andreas	 	 	 	10.1093/bioinformatics/btv341	 	 	 	 	 	Bioinformatics	June	 	20	 	3383-3386	 	 	 	{JSBML} 1.0: providing a smorgasbord of options to encode systems biology models	 	http://bioinformatics.oxfordjournals.org/content/31/20/3383.long	31	2015
liu2015redemption	 	 	Liu, Yang  and Manesso, Erica  and Gunawan, Rudiyanto	 	 	 	10.1093/bioinformatics/btv365	 	 	 	 	 	Bioinformatics	October	 	20	 	3387	Oxford University Press	 	 	REDEMPTION: reduced dimension ensemble modeling and parameter estimation	 		31	2015
naldi2015cooperative	 	 	Naldi, Aur\'{e}lien  and Monteiro, Pedro T.  and M\"{u}ssel, Christoph  and Kestler, Hans A.  and Thieffry, Denis  and Xenarios, Ioannis  and Saez-Rodriguez, Julio  and Helikar, Tomas  and Chaouiya, Claudine	 	 	 	10.1093/bioinformatics/btv013	 	 	 	 	 	Bioinformatics	January	 	 	 	btv013	Oxford University Press	 	 	Cooperative development of logical modelling standards and tools with {C}o{L}o{M}o{T}o	 		 	2015
salehi2015toward	 	 	Salehi-Ashtiani, Kourosh  and Koussa, Joseph  and Dohai, Bushra Saeed  and Chaiboonchoe, Amphun  and Cai, Hong  and Dougherty, Kelly AD  and Nelson, David R.  and Jijakli, Kenan  and Khraiwesh, Basel	Biomass and Biofuels from Microalgae	 	 	 	 	 	 	 	 	 	 	 	 	 	173-189	Springer	 	 	Toward applications of genomics and metabolic modeling to improve algal biomass productivity	 		 	2015
holmes2015local	 	 	Holmes, William R.  and Mata, May Anne  and Edelstein-Keshet, Leah	 	 	 	10.1016/j.bpj.2014.11.3457	 	 	 	 	 	Biophysical Journal	January	 	2	 	230	The Biophysical Society	 	 	Local perturbation analysis: a computational tool for biophysical reaction-diffusion models	 		108	2015
earnest2015toward	 	 	Earnest, Tyler M.  and Lai, Jonathan  and Chen, Ke  and Hallock, Michael J.  and Williamson, James R.  and Luthey-Schulten, Zaida	 	 	 	10.1016/j.bpj.2015.07.030	 	 	 	 	 	Biophysical Journal	September	 	6	 	1117	The Biophysical Society	 	 	Toward a Whole-Cell Model of Ribosome Biogenesis: Kinetic Modeling of SSU Assembly	 		109	2015
poleszczuk2015agent	 	 	Poleszczuk, Jan T.  and Macklin, Paul  and Enderling, Heiko	 	 	 	 	 	 	 	 	 	bioRxiv	 	 	 	 	035162	Springer	 	 	Agent-based modeling of cancer stem cell driven solid tumor growth	 		 	2015
mashamaite2015glutaredoxin	 	 	Mashamaite, Lefentse N.  and Rohwer, Johann M.  and Pillay, Ch\'{e} S.	 	 	 	10.1042/BSR20140157	 	 	 	 	 	Bioscience Reports	 	 	1	 	e00173	Portland Press Ltd	 	 	The glutaredoxin mono-and di-thiol mechanisms for deglutathionylation are functionally equivalent: implications for redox systems biology	 		35	2015
wiechert2015computational	 	 	Wiechert, Wolfgang  and Klamt, Steffen	 	 	 	10.1007/s12268-015-0537-3	 	 	 	 	 	BIOspektrum	February	 	1	 	46-48	Springer Nature	 	 	Computational Systems Biology  neues Fach in den Lebenswissenschaften	 		21	2015
chua2015identifying	 	 	Chua, Pooi San  and Salleh, Abdul Hakim Mohamed  and Mohamad, Mohd Saberi  and Deris, Safaai  and Omatu, Sigeru  and Yoshioka, Michifumi	 	 	 	10.1007/s12257-014-0466-x	 	 	 	 	 	Biotechnology and Bioprocess Engineering	April	 	2	 	349-357	Springer Science + Business Media	 	 	Identifying a gene knockout strategy using a hybrid of the bat algorithm and flux balance analysis to enhance the production of succinate and lactate in Escherichia coli	 		20	2015
salleh2015gene	 	 	Salleh, Abdul Hakim Mohamed  and Mohamad, Mohd Saberi  and Deris, Safaai  and Omatu, Sigeru  and Fdez-Riverola, Florentino  and Corchado, Juan Manuel	 	 	 	10.1007/s12257-015-0276-9	 	 	 	 	 	Biotechnology and Bioprocess Engineering	August	 	4	 	685-693	Springer Science + Business Media	 	 	Gene knockout identification for metabolite production improvement using a hybrid of genetic ant colony optimization and flux balance analysis	 		20	2015
brandl2015current	Netherlands	 	Brandl, Julian  and Andersen, Mikael R.	 	 	 	10.1007/s10529-015-1782-8	 	 	 	 	 	Biotechnology Letters	June	 	6	 	1131-9	 	 	 	Current state of genome-scale modeling in filamentous fungi	 		37	2015
caravagna2015automatising	England	 	Caravagna, Giulio  and De Sano, Luca  and Antoniotti, Marco	 	 	 	10.1186/1471-2105-16-S9-S8	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	S8	 	 	 	Automatising the analysis of stochastic biochemical time-series	 		16 Suppl 9	2015
pyysalo2015overview	England	 	Pyysalo, Sampo  and Ohta, Tomoko  and Rak, Rafal  and Rowley, Andrew  and Chun, Hong-Woo W. and Jung, Sung-Jae J. and Choi, Sung-Pil P. and Tsujii, Jun'ichi  and Ananiadou, Sophia	 	 	 	10.1186/1471-2105-16-S10-S2	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	S2	 	 	 	Overview of the Cancer Genetics and Pathway Curation tasks of BioNLP Shared Task 2013	 		16 Suppl 10	2015
mei2015multiscale	England	 	Mei, Yongguo  and Abedi, Vida  and Carbo, Adria  and Zhang, Xiaoying  and Lu, Pinyi  and Philipson, Casandra  and Hontecillas, Raquel  and Hoops, Stefan  and Liles, Nathan  and Bassaganya-Riera, Josep	 	 	 	10.1186/1471-2105-16-S12-S2	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	S2	 	 	 	Multiscale modeling of mucosal immune responses	 		16 Suppl 12	2015
mohsenizadeh2015dynamical	England	 	Mohsenizadeh, Daniel N.  and Hua, Jianping  and Bittner, Michael  and Dougherty, Edward R.	 	 	 	10.1186/1471-2105-16-S13-S3	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	S3	 	 	 	Dynamical modeling of uncertain interaction-based genomic networks	 		16 Suppl 13	2015
hussain2015automated	England	 	Hussain, Faraz  and Langmead, Christopher J.  and Mi, Qi  and Dutta-Moscato, Joyeeta  and Vodovotz, Yoram  and Jha, Sumit K.	 	 	 	10.1186/1471-2105-16-S17-S8	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	S8	 	 	 	Automated parameter estimation for biological models using {B}ayesian statistical model checking	 		16 Suppl 17	2015
binns2015sampling	England	 	Binns, Michael  and de Atauri, Pedro  and Vlysidis, Anestis  and Cascante, Marta  and Theodoropoulos, Constantinos	 	 	 	10.1186/s12859-015-0476-5	 	 	 	 	 	BMC Bioinformatics	February	 	 	 	49	 	 	 	Sampling with poling-based flux balance analysis: optimal versus sub-optimal flux space analysis of Actinobacillus succinogenes	 		16	2015
baker2015a	England	 	Baker, Syed Murtuza  and Poskar, {C}. Hart  and Schreiber, Falk  and Junker, Bj\"{o}rn H.	 	 	 	10.1186/s12859-015-0500-9	 	 	 	 	 	BMC Bioinformatics	March	 	 	 	104	 	 	 	A unified framework for estimating parameters of kinetic biological models	 		16	2015
nim2015visionet	 	 	Nim, Hieu T.  and Furtado, Milena B.  and Costa, Mauro W.  and Rosenthal, Nadia A.  and Kitano, Hiroaki  and Boyd, Sarah E.	 	 	 	10.1186/s12859-015-0578-0	 	 	 	 	 	BMC Bioinformatics	 	 	 	 	141	 	 	 	VISIONET: intuitive visualisation of overlapping transcription factor networks, with applications in cardiogenic gene discovery	 		16	2015
karr2015networkpainter	England	 	Karr, Jonathan R.  and Guturu, Harendra  and Chen, Edward Y.  and Blair, Stuart L.  and Irish, Jonathan M.  and Kotecha, Nikesh  and Covert, Markus W.	 	 	 	10.1186/s12859-015-0602-4	 	 	 	 	 	BMC Bioinformatics	May	 	 	 	172	 	 	 	NetworkPainter: dynamic intracellular pathway animation in Cytobank	 		16	2015
balazki2015monalisa	England	 	Balazki, Pavel  and Lindauer, Klaus  and Einloft, Jens  and Ackermann, J\"{o}rg  and Koch, Ina	 	 	 	10.1186/s12859-015-0596-y	 	 	 	 	 	BMC Bioinformatics	July	 	 	 	215	 	 	 	MONALISA for stochastic simulations of {P}etri net models of biochemical systems	 		16	2015
pacheco2015integrated	England	 	Pacheco, Maria Pires  and John, Elisabeth  and Kaoma, Tony  and Hein\"{a}niemi, Merja  and Nicot, Nathalie  and Vallar, Laurent  and Bueb, Jean-Luc L. and Sinkkonen, Lasse  and Sauter, Thomas	 	 	 	10.1186/s12864-015-1984-4	 	 	 	 	 	BMC Genomics	October	 	 	 	809	 	 	 	Integrated metabolic modelling reveals cell-type specific epigenetic control points of the macrophage metabolic network	 		16	2015
li2015bio	 	 	Li, Chen  and Liakata, Maria	 	 	 	10.1186/1753-6561-9-s5-a5	 	 	 	 	 	BMC Proceedings	 	 	Suppl 5	 	A5	Springer Nature	 	 	Bio-event definition in text mining towards event interconnection	 		9	2015
weber2015a	England	 	Weber, Patrick  and Hornjik, Mariana  and Olayioye, Monilola A.  and Hausser, Angelika  and Radde, Nicole E.	 	 	 	10.1186/s12918-015-0147-1	 	 	 	 	 	BMC Systems Biology	February	 	 	 	9	 	 	 	A computational model of PKD and CERT interactions at the trans-Golgi network of mammalian cells	 		9	2015
zhukova2015mimoza	England	 	Zhukova, Anna  and Sherman, David J.	 	 	 	10.1186/s12918-015-0151-5	 	 	 	 	 	BMC Systems Biology	February	 	 	 	10	 	 	 	Mimoza: web-based semantic zooming and navigation in metabolic networks	 		9	2015
brandon2015iron	England	 	Brandon, Madison  and Howard, Brad  and Lawrence, Christopher  and Laubenbacher, Reinhard	 	 	 	10.1186/s12918-015-0163-1	 	 	 	 	 	BMC Systems Biology	April	 	 	 	19	 	 	 	Iron acquisition and oxidative stress response in aspergillus fumigatus	 		9	2015
wieczorek2015uncovering	England	 	Wieczorek, Jakob  and Malik-Sheriff, Rahuman S.  and Fermin, Yessica  and Grecco, Hern\'{a}n E.  and Zamir, Eli  and Ickstadt, Katja	 	 	 	10.1186/s12918-015-0170-2	 	 	 	 	 	BMC Systems Biology	June	 	 	 	24	 	 	 	Uncovering distinct protein-network topologies in heterogeneous cell populations	 		9	2015
wolstencroft2015seek	England	 	Wolstencroft, Katherine  and Owen, Stuart  and Krebs, Olga  and Nguyen, Quyen  and Stanford, Natalie J.  and Golebiewski, Martin  and Weidemann, Andreas  and Bittkowski, Meik  and An, Lihua  and Shockley, David  and Snoep, Jacky L.  and Mueller, Wolfgang  and Goble, Carole	 	 	 	10.1186/s12918-015-0174-y	 	 	 	 	 	BMC Systems Biology	July	 	 	 	33	 	 	 	SEEK: a systems biology data and model management platform	 		9	2015
cursons2015regulation	England	 	Cursons, Joseph  and Gao, Jerry  and Hurley, Daniel G.  and Print, Cristin G.  and Dunbar, P. Rod  and Jacobs, Marc D.  and Crampin, Edmund J.	 	 	 	10.1186/s12918-015-0187-6	 	 	 	 	 	BMC Systems Biology	July	 	 	 	41	 	 	 	Regulation of ERK-MAPK signaling in human epidermis	 		9	2015
mori2015stochastic	England	 	Mori, Tomoya  and Fl\"{o}ttmann, Max  and Krantz, Marcus  and Akutsu, Tatsuya  and Klipp, Edda	 	 	 	10.1186/s12918-015-0193-8	 	 	 	 	 	BMC Systems Biology	August	 	 	 	45	 	 	 	Stochastic simulation of Boolean rxncon models: towards quantitative analysis of large signaling networks	 		9	2015
erdrich2015an	England	 	Erdrich, Philipp  and Steuer, Ralf  and Klamt, Steffen	 	 	 	10.1186/s12918-015-0191-x	 	 	 	 	 	BMC Systems Biology	August	 	 	 	48	 	 	 	An algorithm for the reduction of genome-scale metabolic network models to meaningful core models	 		9	2015
garay2015metabolic	England	 	Garay, Christopher D.  and Dreyfuss, Jonathan M.  and Galagan, James E.	 	 	 	10.1186/s12918-015-0206-7	 	 	 	 	 	BMC Systems Biology	September	 	 	 	57	 	 	 	Metabolic modeling predicts metabolite changes in Mycobacterium tuberculosis	 		9	2015
kavscek2015optimization	England	 	Kav\u s\v{c}ek, Martin  and Bhutada, Govindprasad  and Madl, Tobias  and Natter, Klaus	 	 	 	10.1186/s12918-015-0217-4	 	 	 	 	 	BMC Systems Biology	October	 	 	 	72	 	 	 	Optimization of lipid production with a genome-scale model of Yarrowia lipolytica	 		9	2015
intosalmi2015analyzing	England	 	Intosalmi, Jukka  and Ahlfors, Helena  and Rautio, Sini  and Mannerst\"{o}m, Henrik  and Chen, Zhi Jane  and Lahesmaa, Riitta  and Stockinger, Brigitta  and L\"{a}hdesm\"{a}ki, Harri	 	 	 	10.1186/s12918-015-0223-6	 	 	 	 	 	BMC Systems Biology	November	 	 	 	81	 	 	 	Analyzing Th17 cell differentiation dynamics using a novel integrative modeling framework for time-course {RNA} sequencing data	 		9	2015
christensen2015tracing	England	 	Christensen, Carl D.  and Hofmeyr, Jan-Hendrik S. H. and Rohwer, Johann M.	 	 	 	10.1186/s12918-015-0236-1	 	 	 	 	 	BMC Systems Biology	December	 	 	 	89	 	 	 	Tracing regulatory routes in metabolism using generalised supply-demand analysis	 		9	2015
drager2015sbmlsqueezer	 	 	Dr\"{a}ger, Andreas  and Zielinski, Daniel {C}.  and Keller, Roland  and Rall, Matthias  and Eichner, Johannes  and Palsson, Bernhard O.  and Zell, Andreas	 	 	 	10.1186/s12918-015-0212-9	 	 	 	 	 	BMC Systems Biology	October	 	1	 	1	BioMed Central	 	 	SBMLsqueezer 2: context-sensitive creation of kinetic equations in biochemical networks	 		9	2015
